Name,Response rate,Popularity,Room Score,Service Score,Food Score,Location Score,Overall Score
Hyatt Regency Denver Tech Center,11%,53%,66,77,69,71,82
InTown Suites,0%,,56,62,67,100,70
JW Marriott Denver Cherry Creek,64%,70%,76,82,74,93,88
Kimpton HOTEL BORN,78%,91%,82,80,82,93,90
Kimpton Hotel Monaco Denver,77%,62%,69,84,88,87,87
Knights Inn Aurora,62%,56%,27,60,30,69,54
Knights Inn Westminster / Huntington Beach,94%,44%,68,87,81,88,83
La Quinta Inn & Suites Denver Airport DIA,70%,81%,65,78,55,92,80
La Quinta Inn & Suites Denver Gateway Park,40%,67%,71,83,65,85,83
La Quinta Inn & Suites Westminster Promenade,9%,31%,74,91,61,94,86
La Quinta Inn and Suites Denver SW Lakewood,91%,65%,59,84,42,86,80
La Quinta Inn Denver Aurora [Colorado],50%,,29,50,35,82,54
La Quinta Inn Denver Central.,24%,11%,28,74,50,77,58
La Quinta Inn Denver Cherry Creek,71%,34%,46,81,57,81,69
La Quinta Inn Mall Westminster [Colorado],34%,,53,73,41,84,72
La Quinta Inn Suites Lakewood,65%,75%,77,80,78,77,86
La Vista Motel,0%,17%,33,75,,,59
Lamp Post Inn,0%,,100,100,,,83
Le Meridien Denver Downtown,94%,91%,61,84,84,90,87
Littleton Motel,3%,,50,75,67,77,88
Magnolia Hotel Denver,48%,80%,57,84,83,85,82
MainStay Suites Denver International Airport,58%,,78,79,79,84,83
MainStay Suites Near Denver Downtown,65%,40%,55,70,75,70,75
Maple Leaf Motel,82%,,51,81,25,94,72
Maple Leaf Motel Littleton [New Hamsphire],60%,,48,73,22,90,70
Mario’s International Spa and Hotel,1%,,51,67,77,67,73
Marriott Denver West,65%,67%,58,83,65,92,83
Marriott Denver Westminster,65%,,64,89,75,100,88
Mesa Motel,0%,,0,46,,,58
Microtel Inn & Suites by Wyndham Denver,47%,54%,39,66,39,79,69
Mon Chalet,2%,,80,100,100,100,90
Motel 6 Aurora [Colorado],24%,,51,88,28,85,77
Motel 6 Chicago Southwest Aurora [Illinois],10%,,27,100,100,100,63
Motel 6 Denver - Lakewood,22%,,47,60,31,73,65
Motel 6 Denver Airport,34%,14%,43,85,31,79,67
Motel 6 Denver Central - Federal Boulevard,33%,12%,36,74,42,78,69
Motel 6 Westminster North,25%,,50,90,61,91,80
MOXY Denver Cherry Creek,84%,75%,43,82,76,89,85
NATIONAL AT BALLPARK LOFTS,100%,10%,42,58,0,93,69
Nativ Hotel,75%,30%,43,70,67,88,62
Newhouse Hotel,2%,35%,78,89,100,95,89
Niagara Motel,0%,23%,83,57,,,63
North Aurora Howard Johnson Hotel,62%,0%,45,55,10,88,57
North Federal Valley Motel,0%,14%,0,,,,57
North Star Motel,0%,,100,100,50,100,88
Notel Motel,0%,10%,30,80,50,,58
Oakwood At Legend Oaks,100%,3%,38,61,,57,70
Oakwood Seasons Of Cherry Creek Hotel Denver [Colorado],48%,21%,44,50,50,80,67
OYO Hotel Denver I-70 Northeast,53%,15%,16,54,25,62,47
Pacesetter Motel,0%,100%,0,100,,,57
Panorama Motel,0%,,70,80,,80,62
Penn Amish Motel,1%,60%,50,88,17,100,79
Primrose Motel,60%,34%,33,67,,0,50
Quality Inn,64%,,41,68,50,80,69
Quality Inn & Suites,48%,,49,78,57,82,72
Quality Inn & Suites Denver International Airport,69%,62%,57,78,63,93,80
Quality Inn & Suites Denver International Airport - Gateway Park,0%,52%,49,57,64,68,67
Quality Inn & Suites Denver Stapleton,23%,,29,74,72,82,69
Quality Inn Central Denver [Colorado],36%,59%,31,49,64,63,56
Quality Inn Denver Downtown,67%,35%,39,79,79,84,68
Quality Inn Denver Westminster,16%,,53,69,62,78,72
Radisson Denver Southeast,90%,,31,64,42,67,71
Ramada by Wyndham Denver International Airport,76%,48%,73,82,66,88,80
Ramada Denver Midtown,87%,9%,39,79,75,86,68
Ramada Downtown Denver,63%,46%,23,62,28,75,49
Ramada Plaza Denver Central Hotel,82%,38%,56,87,76,65,77
Red Lion Inn & Suites Denver Airport,72%,48%,40,76,49,81,63
Red Pine Motel,0%,55%,0,50,100,100,71
Red Roof Inn Denver,69%,53%,42,66,36,93,68
Renaissance Denver Downtown City Center Hotel,32%,86%,62,83,63,91,86
Renaissance Denver Stapleton Hotel,57%,71%,66,83,75,73,83
Residence In Denver North Westminster,1%,46%,60,85,69,96,74
Residence Inn by Marriott Denver Downtown,74%,60%,64,80,85,95,81
Residence Inn By Marriott Denver Southwest/Lakewood,0%,46%,64,81,71,82,79
Residence Inn by Marriott Denver Southwest/Littleton,62%,,90,85,75,79,86
Residence Inn by Marriott Denver West Golden,69%,83%,72,93,64,97,85
Residence Inn Denver Airport,90%,100%,77,85,73,93,84
Residence Inn Denver Airport / Convention Center,54%,47%,85,78,68,82,93
Residence Inn Denver Cherry Creek,24%,100%,65,80,82,93,85
